Lead_Id,Within24,Within48,Within72,WithinWeek,WithinWeeks,WithinMonth,ContactByEmail,ContactByTelephone,DistanceToDealer,Car Value,LeadProvider_Id,Status,Manufacturer,Model,TradeInModelYear,City,State
146,0,0,0,0,0,1,0,1,28.88,7319,LP001,NEW,Toyota,Highlander,2003,Pell City,AL
226,0,0,0,0,1,0,0,1,34.15,4563,LP006,USED,Chevrolet,Suburban,1996,Payson,AZ
166,0,0,0,0,0,1,0,1,29.42,8046,LP009,NEW,Toyota,Avalon,2007,Farmington,NM
291,0,0,0,1,0,0,0,1,110.76,5025,LP010,USED,Ferrari,F1,1997,Conway,AR
102,0,0,0,0,1,0,0,1,37.09,4826,LP002,NEW,BMW,7 Series,2001,San Francisco,CA
361,0,0,0,0,0,1,0,1,41.98,5576,LP004,NEW,Volvo,S60,1997,Courtland,CA
521,0,0,0,0,0,1,0,1,31.89,9103,LP006,NEW,Honda,Fit,2008,Payson,AZ
426,0,0,0,0,1,0,0,1,50.38,3495,LP007,NEW,Infiniti,G35,1999,New York,NY
559,0,0,0,0,1,0,0,1,51.81,5828,LP008,NEW,Lexus,ES,2002,Pell City,AL
101,0,0,0,0,1,0,0,1,51.25,7047,LP002,NEW,Lotus,L1,1997,Albany,NY
510,0,0,0,0,0,0,0,1,117.58,5048,LP007,NEW,BMW,X6,2005,New York,NY
509,0,0,0,0,0,1,0,1,82.05,2170,LP007,NEW,Chevrolet,TrailBlazer,2006,Meas,AZ
795,0,0,0,0,0,1,0,1,43.3,6562,LP003,NEW,Hyundai,Sonata,2001,Valencia,CA
154,0,0,0,0,0,1,0,1,27.264,5523,LP007,NEW,Suzuki,Aerio,2003,San Francisco,CA
851,0,0,0,0,0,1,0,1,8.15,4303,LP007,NEW,Lotus,L1,2002,Foley,AL
511,0,0,0,0,1,0,0,1,33.69,7874,LP007,NEW,Hyundai,Accent,2007,Los Angeles,CA
852,0,0,0,0,0,1,0,1,43.72,6669,LP009,NEW,Suzuki,Aerio,1996,Valencia,CA
147,0,0,0,0,0,1,0,1,33.22,2650,LP010,NEW,Toyota,Corolla,2006,Los Angeles,CA
853,0,0,0,0,0,1,0,1,44.67,7003,LP003,NEW,Suzuki,Reno,2004,Conway,AR
797,0,1,0,0,0,0,0,1,76.39,7124,LP008,USED,Suzuki,Aerio,1998,Las Vegas,NM
248,0,0,0,1,0,0,0,1,127.29,8056,LP005,USED,Hyundai,Accent,1997,Wassila,AK
611,0,0,0,0,0,1,0,1,34.06,3822,LP001,NEW,Lotus,L1,2008,Courtland,CA
796,0,0,0,0,0,1,0,1,42.43,7763,LP003,NEW,BMW,7 Series,2004,Marion,AR
103,0,0,0,0,1,0,0,1,39.3,6132,LP007,NEW,Hyundai,Sonata,1999,Las Vegas,NM
591,0,0,0,0,0,1,0,1,43.9,7420,LP002,NEW,Suzuki,Reno,2008,Meas,AZ
798,0,0,0,0,0,1,0,1,30.96,7662,LP010,NEW,Suzuki,Reno,1997,New York,NY
533,0,0,0,0,0,0,0,1,27.264,5045,LP008,USED,Audi,A3,2002,Globe,AZ
971,0,0,0,0,0,0,0,1,887.44,6534,LP005,NEW,BMW,Z4,2000,Farmington,NM
991,0,0,0,0,0,1,0,1,29.52,9350,LP002,NEW,Volvo,C70,1996,Valencia,CA
992,0,0,0,0,1,0,0,1,848.03,9975,LP005,USED,Toyota,Camry,1997,New York,NY
105,0,0,0,0,0,1,0,1,42.26,6647,LP002,NEW,Audi,A8,2007,Elberta,AL
106,0,0,0,0,0,1,0,1,50.92,2792,LP005,NEW,Jaguar,X-Type,2002,Payson,AZ
993,0,0,0,0,0,1,0,1,54.63,6882,LP008,NEW,Jaguar,XF,2008,Lake City,AR
427,0,0,0,0,0,1,0,1,47.87,9522,LP003,NEW,Honda,Fit,1998,Pell City,AL
292,0,0,0,0,0,1,0,1,51.16,2027,LP002,NEW,Honda,Accord1,2001,Los Angeles,CA
